displayName,schoolType,state,city,region,isPublic,displayRank,sortRank,ReligiousAffiliation
Valley City State University,regional-colleges-midwest,ND,Valley City,midwest,True,#24,24,
Valparaiso University,national-universities,IN,Valparaiso,,True,#204,204,
Vanderbilt University,national-universities,TN,Nashville,,True,#18,18,
VanderCook College of Music,special-focus,IL,Chicago,,True,Unranked,-2,
Vanguard University of Southern California,regional-universities-west,CA,Costa Mesa,west,True,#43,43,
Vassar College,national-liberal-arts-colleges,NY,Poughkeepsie,,True,#12,12,
Vaughn College of Aeronautics and Technology,regional-colleges-north,NY,Flushing,north,True,#23,23,
Vermont State University,regional-universities-north,VT,Johnson,north,True,#151-165,-1,
Villa Maria College,regional-colleges-north,NY,Buffalo,north,True,#48,48,
Villanova University,national-universities,PA,Villanova,,True,#58,58,
Vincennes University,regional-colleges-midwest,IN,Vincennes,midwest,True,#70,70,
Virginia Commonwealth University,national-universities,VA,Richmond,,True,#136,136,
Virginia Military Institute,national-liberal-arts-colleges,VA,Lexington,,True,#59,59,
Virginia State University,regional-universities-south,VA,Petersburg,south,True,#57,57,
Virginia Tech,national-universities,VA,Blacksburg,,True,#51,51,
Virginia Union University,national-liberal-arts-colleges,VA,Richmond,,True,#187-204,-1,
Virginia Wesleyan University,national-liberal-arts-colleges,VA,Virginia Beach,,True,#175,175,
Viterbo University,regional-universities-midwest,WI,La Crosse,midwest,True,#73,73,
Voorhees University,regional-colleges-south,SC,Denmark,south,True,#68,68,
Wabash College,national-liberal-arts-colleges,IN,Crawfordsville,,True,#55,55,
Wade College,regional-colleges-west,TX,Dallas,west,True,Unranked,-2,
Wagner College,regional-universities-north,NY,Staten Island,north,True,#60,60,
Wake Forest University,national-universities,NC,Winston-Salem,,True,#46,46,
Waldorf University,regional-universities-midwest,IA,Forest City,midwest,True,#149-164,-1,
Walla Walla University,regional-universities-west,WA,College Place,west,True,#47,47,
Walsh University,national-universities,OH,North Canton,,True,#352,352,
Warner Pacific University,regional-colleges-west,OR,Portland,west,True,#12,12,
Warner University,regional-universities-south,FL,Lake Wales,south,True,#112,112,
Warren Wilson College,national-liberal-arts-colleges,NC,Asheville,,True,#187-204,-1,
Wartburg College,national-liberal-arts-colleges,IA,Waverly,,True,#158,158,
Washburn University,regional-universities-midwest,KS,Topeka,midwest,True,#82,82,
Washington Adventist University,regional-universities-north,MD,Takoma Park,north,True,#151-165,-1,
Washington and Lee University,national-liberal-arts-colleges,VA,Lexington,,True,#19,19,
Washington College,national-liberal-arts-colleges,MD,Chestertown,,True,#95,95,
Washington & Jefferson College,national-liberal-arts-colleges,PA,Washington,,True,#90,90,
Washington State University,national-universities,WA,Pullman,,True,#189,189,
Washington University in St. Louis,national-universities,MO,St. Louis,,True,#21,21,
Wayland Baptist University,regional-universities-west,TX,Plainview,west,True,#105-115,-1,
Waynesburg University,regional-universities-north,PA,Waynesburg,north,True,#112,112,
Wayne State College,regional-universities-midwest,NE,Wayne,midwest,True,#96,96,
Wayne State University,national-universities,MI,Detroit,,True,#179,179,
Webber International University,regional-colleges-south,FL,Babson Park,south,True,#74,74,
Webb Institute,specialty-engineering,NY,Glen Cove,,True,Unranked,-2,
